celltype_id,sample_id
1-fetal-epithelial-progenitor,fetal-brain-6
1-fetal-epithelial-progenitor,fetal-calvaria-1
1-fetal-epithelial-progenitor,fetal-eyes-1
1-fetal-epithelial-progenitor,fetal-female-gonad-1
1-fetal-epithelial-progenitor,fetal-female-gonad-2
1-fetal-epithelial-progenitor,fetal-heart-1
1-fetal-epithelial-progenitor,fetal-heart-2
1-fetal-epithelial-progenitor,fetal-intestine-1
1-fetal-epithelial-progenitor,fetal-intestine-2
1-fetal-epithelial-progenitor,fetal-intestine-3
1-fetal-epithelial-progenitor,fetal-intestine-4
1-fetal-epithelial-progenitor,fetal-intestine-5
1-fetal-epithelial-progenitor,fetal-kidney-3
1-fetal-epithelial-progenitor,fetal-kidney-4
1-fetal-epithelial-progenitor,fetal-kidney-5
1-fetal-epithelial-progenitor,fetal-kidney-6
1-fetal-epithelial-progenitor,fetal-liver-1.2
1-fetal-epithelial-progenitor,fetal-lung-1
1-fetal-epithelial-progenitor,fetal-lung-2
1-fetal-epithelial-progenitor,fetal-male-gonad-1
1-fetal-epithelial-progenitor,fetal-male-gonad-2
1-fetal-epithelial-progenitor,fetal-muscle-1
1-fetal-epithelial-progenitor,fetal-pancreas-1
1-fetal-epithelial-progenitor,fetal-pancreas-2
1-fetal-epithelial-progenitor,fetal-pancreas-3
1-fetal-epithelial-progenitor,fetal-rib-3
1-fetal-epithelial-progenitor,fetal-skin-2
1-fetal-epithelial-progenitor,fetal-skin-3
1-fetal-epithelial-progenitor,fetal-spinal-cord-1
1-fetal-epithelial-progenitor,fetal-stomach-1
1-fetal-epithelial-progenitor,fetal-stomach-2
1-fetal-epithelial-progenitor,fetal-thymus-1
1-fetal-epithelial-progenitor,placenta-1
20-endothelial-cell,adult-adrenal-gland-1
20-endothelial-cell,adult-adrenal-gland-2
20-endothelial-cell,adult-artery-1
20-endothelial-cell,adult-bladder-1
20-endothelial-cell,adult-bladder-2
20-endothelial-cell,adult-brain-1
20-endothelial-cell,adult-esophagus-1
20-endothelial-cell,adult-fallopian-tube-1
20-endothelial-cell,adult-gall-bladder-2
20-endothelial-cell,adult-heart-2
20-endothelial-cell,adult-intestine-2
20-endothelial-cell,adult-intestine-5
20-endothelial-cell,adult-kidney-2
20-endothelial-cell,adult-kidney-3
20-endothelial-cell,adult-kidney-4.2
20-endothelial-cell,adult-liver-1
20-endothelial-cell,adult-liver-2
20-endothelial-cell,adult-liver-4.1
20-endothelial-cell,adult-liver-4.2
20-endothelial-cell,adult-lung-1
20-endothelial-cell,adult-lung-2
20-endothelial-cell,adult-lung-3.1
20-endothelial-cell,adult-lung-3.2
20-endothelial-cell,adult-lung-3.3
20-endothelial-cell,adult-lung-3.4
20-endothelial-cell,adult-muscle-1
20-endothelial-cell,adult-pancreas-1
20-endothelial-cell,adult-pleura-1
20-endothelial-cell,adult-prostate-1
20-endothelial-cell,adult-spleen-1.2
20-endothelial-cell,adult-stomach-2
20-endothelial-cell,adult-stomach-3.3
20-endothelial-cell,adult-thyroid-1
20-endothelial-cell,adult-thyroid-2
20-endothelial-cell,adult-trachea-2
20-endothelial-cell,adult-transverse-colon-1
20-endothelial-cell,adult-transverse-colon-2.2
20-endothelial-cell,adult-ureter-1
20-endothelial-cell,adult-uterus-1
20-endothelial-cell,chorionic-villus-1
20-endothelial-cell,cord-blood-cd34p-1
20-endothelial-cell,fetal-adrenal-gland-2
20-endothelial-cell,fetal-adrenal-gland-3
20-endothelial-cell,fetal-adrenal-gland-4
20-endothelial-cell,fetal-brain-3
20-endothelial-cell,fetal-brain-4
20-endothelial-cell,fetal-brain-5
20-endothelial-cell,fetal-brain-6
20-endothelial-cell,fetal-calvaria-1
20-endothelial-cell,fetal-eyes-1
20-endothelial-cell,fetal-female-gonad-1
20-endothelial-cell,fetal-female-gonad-2
20-endothelial-cell,fetal-heart-1
20-endothelial-cell,fetal-heart-2
20-endothelial-cell,fetal-intestine-1
20-endothelial-cell,fetal-intestine-2
20-endothelial-cell,fetal-intestine-3
20-endothelial-cell,fetal-intestine-4
20-endothelial-cell,fetal-intestine-5
